HEX	CN_NANE	JP_NANE	EN_NANE
0001	大师球	マスターボール	Master Ball
0002	高级球	ハイパーボール	Ultra Ball
0003	超级球	スーパーボール	Great Ball
0004	精灵球	モンスターボール	Poké Ball
0005	狩猎球	サファリボール	Safari Ball
0006	捕网球	ネットボール	Net Ball
0007	潜水球	ダイブボール	Dive Ball
0008	巢穴球	ネストボール	Nest Ball
0009	重复球	リピートボール	Repeat Ball
000B	豪华球	ゴージャスボール	Luxury Ball
000C	纪念球	プレミアボール	Premier Ball
000D	黑暗球	ダークボール	Dusk Ball
000E	治愈球	ヒールボール	Heal Ball
000F	先机球	クイックボール	Quick Ball
0010	贵重球	プレシャスボール	Cherish Ball
0011	伤药	キズぐすり	Potion
0012	解毒药	どくけし	Antidote
0013	灼伤药	やけどなおし	Burn Heal
0014	解冻药	こおりなおし	Ice Heal
0015	解眠药	ねむけざまし	Awakening
0016	解麻药	まひなおし	Paralyze Heal
0017	全复药	かいふくのくすり	Full Restore
0018	全满药	まんたんのくすり	Max Potion
0019	厉害伤药	すごいキズぐすり	Hyper Potion
001A	好伤药	いいキズぐすり	Super Potion
001B	万灵药	なんでもなおし	Full Heal
001C	活力碎片	げんきのかけら	Revive
001D	活力块	げんきのかたまり	Max Revive
001E	美味之水	おいしいみず	Fresh Water
001F	劲爽汽水	サイコソーダ	Soda Pop
0020	果汁牛奶	ミックスオレ	Lemonade
0021	哞哞鲜奶	モーモーミルク	Moomoo Milk
0022	元气粉	ちからのこな	Energy Powder
0023	元气根	ちからのねっこ	Energy Root
0024	万能粉	ばんのうごな	Heal Powder
0025	复活草	ふっかつそう	Revival Herb
0026	ＰＰ单项小补剂	ピーピーエイド	Ether
0027	ＰＰ单项全补剂	ピーピーリカバー	Max Ether
0028	ＰＰ多项小补剂	ピーピーエイダー	Elixir
0029	ＰＰ多项全补剂	ピーピーマックス	Max Elixir
002D	ＨＰ增强剂	マックスアップ	HP Up
002E	攻击增强剂	タウリン	Protein
002F	防御增强剂	ブロムヘキシン	Iron
0030	速度增强剂	インドメタシン	Carbos
0031	特攻增强剂	リゾチウム	Calcium
0032	神奇糖果	ふしぎなアメ	Rare Candy
0033	ＰＰ提升剂	ポイントアップ	PP Up
0034	特防增强剂	キトサン	Zinc
0035	ＰＰ极限提升剂	ポイントマックス	PP Max
0037	能力防守	エフェクトガード	Guard Spec.
0038	要害攻击	クリティカット	Dire Hit
0039	力量强化	プラスパワー	X Attack
003A	防御强化	ディフェンダー	X Defense
003B	速度强化	スピーダー	X Speed
003C	命中强化	ヨクアタール	X Accuracy
003D	特攻强化	スペシャルアップ	X Sp. Atk
003E	特防强化	スペシャルガード	X Sp. Def
003F	皮皮玩偶	ピッピにんぎょう	Poké Doll
004C	白银喷雾	シルバースプレー	Super Repel
004D	黄金喷雾	ゴールドスプレー	Max Repel
004E	离洞绳	あなぬけのヒモ	Escape Rope
004F	除虫喷雾	むしよけスプレー	Repel
0050	日之石	たいようのいし	Sun Stone
0051	月之石	つきのいし	Moon Stone
0052	火之石	ほのおのいし	Fire Stone
0053	雷之石	かみなりのいし	Thunder Stone
0054	水之石	みずのいし	Water Stone
0055	叶之石	リーフのいし	Leaf Stone
0056	小蘑菇	ちいさなキノコ	Tiny Mushroom
0057	大蘑菇	おおきなキノコ	Big Mushroom
0058	珍珠	しんじゅ	Pearl
0059	大珍珠	おおきなしんじゅ	Big Pearl
005A	星星沙子	ほしのすな	Stardust
005B	星星碎片	ほしのかけら	Star Piece
005C	金珠	きんのたま	Nugget
005E	甜甜蜜	あまいミツ	Honey
006A	贵重骨头	きちょうなホネ	Rare Bone
006B	光之石	ひかりのいし	Shiny Stone
006C	暗之石	やみのいし	Dusk Stone
006D	觉醒之石	めざめいし	Dawn Stone
006E	浑圆之石	まんまるいし	Oval Stone
006F	楔石	かなめいし	Odd Keystone
0070	白金宝珠	はっきんだま	Griseous Orb
0087	金刚宝珠	こんごうだま	Adamant Orb
0088	白玉宝珠	しらたま	Lustrous Orb
0095	樱子果	クラボのみ	Cheri Berry
0096	零余果	カゴのみ	Chesto Berry
0097	桃桃果	モモンのみ	Pecha Berry
0098	莓莓果	チーゴのみ	Rawst Berry
0099	利木果	ナナシのみ	Aspear Berry
009A	苹野果	ヒメリのみ	Leppa Berry
009B	橙橙果	オレンのみ	Oran Berry
009C	柿仔果	キーのみ	Persim Berry
009D	木子果	ラムのみ	Lum Berry
009E	文柚果	オボンのみ	Sitrus Berry
009F	勿花果	フィラのみ	Figy Berry
00A0	异奇果	ウイのみ	Wiki Berry
00A1	芒芒果	マゴのみ	Mago Berry
00A2	乐芭果	バンジのみ	Aguav Berry
00A3	芭亚果	イアのみ	Iapapa Berry
00A4	蔓莓果	ズリのみ	Razz Berry
00A5	墨莓果	ブリーのみ	Bluk Berry
00A6	蕉香果	ナナのみ	Nanab Berry
00A7	西梨果	セシナのみ	Wepear Berry
00A8	凰梨果	パイルのみ	Pinap Berry
00A9	榴石果	ザロクのみ	Pomeg Berry
00AA	藻根果	ネコブのみ	Kelpsy Berry
00AB	比巴果	タポルのみ	Qualot Berry
00AC	哈密果	ロメのみ	Hondew Berry
00AD	萄葡果	ウブのみ	Grepa Berry
00AE	茄番果	マトマのみ	Tamato Berry
00AF	玉黍果	モコシのみ	Cornn Berry
00B0	岳竹果	ゴスのみ	Magost Berry
00B1	茸丹果	ラブタのみ	Rabuta Berry
00B2	檬柠果	ノメルのみ	Nomel Berry
00B3	刺角果	ノワキのみ	Spelon Berry
00B4	椰木果	シーヤのみ	Pamtre Berry
00B5	瓜西果	カイスのみ	Watmel Berry
00B6	金枕果	ドリのみ	Durin Berry
00B7	靛莓果	ベリブのみ	Belue Berry
00B8	巧可果	オッカのみ	Occa Berry
00B9	千香果	イトケのみ	Passho Berry
00BA	烛木果	ソクノのみ	Wacan Berry
00BB	罗子果	リンドのみ	Rindo Berry
00BC	番荔果	ヤチェのみ	Yache Berry
00BD	莲蒲果	ヨプのみ	Chople Berry
00BE	通通果	ビアーのみ	Kebia Berry
00BF	腰木果	シュカのみ	Shuca Berry
00C0	棱瓜果	バコウのみ	Coba Berry
00C1	福禄果	ウタンのみ	Payapa Berry
00C2	扁樱果	タンガのみ	Tanga Berry
00C3	草蚕果	ヨロギのみ	Charti Berry
00C4	佛柑果	カシブのみ	Kasib Berry
00C5	莓榴果	ハバンのみ	Haban Berry
00C6	刺耳果	ナモのみ	Colbur Berry
00C7	霹霹果	リリバのみ	Babiri Berry
00C8	灯浆果	ホズのみ	Chilan Berry
00C9	枝荔果	チイラのみ	Liechi Berry
00CA	龙睛果	リュガのみ	Ganlon Berry
00CB	沙鳞果	カムラのみ	Salac Berry
00CC	龙火果	ヤタピのみ	Petaya Berry
00CD	杏仔果	ズアのみ	Apicot Berry
00CE	兰萨果	サンのみ	Lansat Berry
00CF	星桃果	スターのみ	Starf Berry
00D0	谜芝果	ナゾのみ	Enigma Berry
00D1	奇秘果	ミクルのみ	Micle Berry
00D2	释陀果	イバンのみ	Custap Berry
00D3	嘉珍果	ジャポのみ	Jaboca Berry
00D4	雾莲果	レンブのみ	Rowap Berry
00D5	光粉	ひかりのこな	Bright Powder
00D6	白色香草	しろいハーブ	White Herb
00D8	学习装置	がくしゅうそうち	Exp. Share
00D9	先制之爪	せんせいのツメ	Quick Claw
00DA	安抚之铃	やすらぎのすず	Soothe Bell
00DB	心灵香草	メンタルハーブ	Mental Herb
00DC	讲究头带	こだわりハチマキ	Choice Band
00DD	王者之证	おうじゃのしるし	King’s Rock
00DE	银粉	ぎんのこな	Silver Powder
00DF	护符金币	おまもりこばん	Amulet Coin
00E0	洁净之符	きよめのおふだ	Cleanse Tag
00E4	烟雾球	けむりだま	Smoke Ball
00E5	不变之石	かわらずのいし	Everstone
00E6	气势头带	きあいのハチマキ	Focus Band
00E7	幸运蛋	しあわせタマゴ	Lucky Egg
00E8	焦点镜	ピントレンズ	Scope Lens
00E9	金属膜	メタルコート	Metal Coat
00EA	吃剩的东西	たべのこし	Leftovers
00EC	电气球	でんきだま	Light Ball
00ED	柔软沙子	やわらかいすな	Soft Sand
00EE	硬石头	かたいいし	Hard Stone
00EF	奇迹种子	きせきのタネ	Miracle Seed
00F0	黑色眼镜	くろいメガネ	Black Glasses
00F1	黑带	くろおび	Black Belt
00F2	磁铁	じしゃく	Magnet
00F3	神秘水滴	しんぴのしずく	Mystic Water
00F4	锐利鸟嘴	するどいくちばし	Sharp Beak
00F5	毒针	どくバリ	Poison Barb
00F6	不融冰	とけないこおり	Never-Melt Ice
00F7	咒术之符	のろいのおふだ	Spell Tag
00F8	弯曲的汤匙	まがったスプーン	Twisted Spoon
00F9	木炭	もくたん	Charcoal
00FA	龙之牙	りゅうのキバ	Dragon Fang
00FB	丝绸围巾	シルクのスカーフ	Silk Scarf
00FD	贝壳之铃	かいがらのすず	Shell Bell
00FE	海潮薰香	うしおのおこう	Sea Incense
00FF	悠闲薰香	のんきのおこう	Lax Incense
0109	广角镜	こうかくレンズ	Wide Lens
010A	力量头带	ちからのハチマキ	Muscle Band
010B	博识眼镜	ものしりメガネ	Wise Glasses
010C	达人带	たつじんのおび	Expert Belt
010D	光之黏土	ひかりのねんど	Light Clay
010E	生命宝珠	いのちのたま	Life Orb
010F	强力香草	パワフルハーブ	Power Herb
0110	剧毒宝珠	どくどくだま	Toxic Orb
0111	火焰宝珠	かえんだま	Flame Orb
0113	气势披带	きあいのタスキ	Focus Sash
0114	对焦镜	フォーカスレンズ	Zoom Lens
